site,year,month,prcp,srad,tmax,tmin,temp,GDD
Egre,2020,May,118.16,384.8964516,66.30277419,45.66374194,55.98325806,188.379
Egre,2020,Jun,99.85,405.963,81.7196,57.815,69.7673,585.252
Egre,2020,Jul,103.51,365.8429032,84.79690323,64.3216129,74.55925806,740.556
Egre,2020,Aug,55.79,389.5490323,82.29316129,58.84787097,70.57051613,625.329
Egre,2020,Sep,104.45,293.9006667,69.7676,50.036,59.9018,297.054
Erisman,2018,May,82.32,375.9987097,83.93696774,60.87316129,72.40506452,677.412
Erisman,2018,Jun,208.46,366.8343333,86.4944,65.5616,76.028,748.206
Erisman,2018,Jul,148.55,378.7529032,84.76264516,65.3423871,75.05251613,751.806
Erisman,2018,Aug,113.26,353.3519355,84.8596129,65.65651613,75.25806452,761.895
Erisman,2018,Sep,72.61,356.014,82.8368,60.3578,71.5973,616.851
Esch,2020,May,125.01,356.5354839,65.47825806,46.09806452,55.78816129,180.027
Esch,2020,Jun,185.51,385.549,80.3744,58.2686,69.3215,577.305
Esch,2020,Jul,131.58,367.0696774,83.69135484,64.50451613,74.09793548,734.13
Esch,2020,Aug,60.24,396.1635484,81.08658065,59.18290323,70.13474194,614.781
Esch,2020,Sep,175.36,296.3926667,68.7194,49.4666,59.093,272.988
Glazik,2018,May,76.78,383.406129,83.05264516,58.02683871,70.53974194,619.965
Glazik,2018,Jun,168.62,355.5873333,84.1874,63.6278,73.9076,696.141
Glazik,2018,Jul,107.16,385.4045161,83.72619355,63.28516129,73.50567742,713.637
Glazik,2018,Aug,99.77,378.5345161,84.56522581,63.19980645,73.88251613,725.616
Glazik,2018,Sep,98.05,349.826,81.689,57.6038,69.6464,560.052
Goldstein,2020,May,115.9,387.4022581,65.38651613,44.68767742,55.03709677,161.028
Goldstein,2020,Jun,85.21,413.0413333,80.7338,56.3528,68.5433,551.043
Goldstein,2020,Jul,110.02,364.5648387,84.17619355,63.22012903,73.69816129,717.615
Goldstein,2020,Aug,92.65,384.87,81.48141935,58.36477419,69.92309677,609.129
Goldstein,2020,Sep,101.36,293.928,69.686,49.895,59.7905,293.715
Gray,2018,May,55.53,389.5393548,81.82748387,56.81387097,69.32067742,579.177
Gray,2018,Jun,104.63,357.7836667,83.45,63.2534,73.3517,680.121
Gray,2018,Jul,50.35,396.1867742,83.73490323,63.26890323,73.50190323,713.61
Gray,2018,Aug,86.59,361.5845161,84.55767742,63.43032258,73.994,725.427
Gray,2018,Sep,85.41,334.1886667,80.5724,57.8072,69.1898,552.528
