"","site","year","prcp_May","prcp_Jun","prcp_Jul","prcp_Aug","prcp_Sep","srad_May","srad_Jun","srad_Jul","srad_Aug","srad_Sep","tmax_May","tmax_Jun","tmax_Jul","tmax_Aug","tmax_Sep","tmin_May","tmin_Jun","tmin_Jul","tmin_Aug","tmin_Sep","temp_May","temp_Jun","temp_Jul","temp_Aug","temp_Sep","GDD_May","GDD_Jun","GDD_Jul","GDD_Aug","GDD_Sep"
"11","Beiler2020","2020",128.88,173.65,137.77,67.8,141.38,359.584838709677,392.676333333333,369.376129032258,383.419032258065,299.203666666667,65.7691612903226,80.7302,84.114064516129,81.3705161290323,69.1916,46.2525161290323,58.3772,64.5405161290323,59.0673548387097,49.4438,56.0108387096774,69.5537,74.3272903225807,70.218935483871,59.3177,187.506,583.137,738.837,616.536,279.531
"12","Bryan2019","2019",203.42,91.17,124.53,82.6,42.3,361.332903225806,386.826333333333,370.757096774194,370.852903225806,346.056666666667,70.7458709677419,79.3598,86.3907741935484,80.9553548387097,80.0528,51.3883225806452,59.492,66.5210967741936,60.8661935483871,58.442,61.0670967741936,69.4259,76.455935483871,70.9107741935484,69.2474,343.08,571.185,788.121,646.29,570.366
"13","Bryan2020","2020",124.11,72.55,84.5,49.72,85.78,374.380967741935,410.110333333333,380.083870967742,400.303548387097,343.660666666667,69.2129677419355,83.2538,87.2913548387097,82.9574193548387,75.7076,48.7376774193548,60.4316,65.7830967741936,60.3058709677419,52.2752,58.9753225806452,71.8427,76.5372258064516,71.6316451612903,63.9914,276.147,640.926,784.548,656.559,419.274
"14","Buxton2018","2018",68.6,159.74,158.38,89.73,89.05,370.71935483871,363.774333333333,376.298709677419,355.546129032258,348.966666666667,83.7145806451613,85.8764,84.1988387096774,84.4072903225806,82.403,60.9196129032258,65.5856,65.1316129032258,65.6390967741935,60.4208,72.3170967741935,75.731,74.6652258064516,75.0231935483871,71.4119,674.829,744.489,744.012,758.619,610.758
"15","Clark2020","2020",149.28,154.18,124.94,37.28,119.32,370.168387096774,405.82,365.656774193548,396.847741935484,297.134333333333,66.060064516129,81.1808,84.4717419354839,81.801935483871,69.2774,45.4558709677419,57.2414,63.9929677419355,58.2956774193548,49.184,55.7579677419355,69.2111,74.2323548387097,70.0488064516129,59.2307,181.431,571.725,732.384,610.011,276.921
"16","Dahnert2018","2018",180.87,171.29,76.53,208.05,237.53,359.485483870968,341.482,394.348709677419,336.702258064516,304.359666666667,75.4485161290323,78.0842,82.6392258064516,81.6027741935484,74.5634,52.6796774193548,59.7188,61.4276774193548,62.0716129032258,54.4352,64.0640967741935,68.9015,72.0334516129032,71.8371935483871,64.4993,425.493,554.454,673.497,671.382,431.541
"17","Doonan2019","2019",255.52,142.74,47.94,79.71,229.74,345.974193548387,374.211333333333,392.824838709677,360.275806451613,301.761,68.7147741935484,80.0336,87.1932258064516,81.392,79.034,49.1934838709677,60.521,67.2312258064516,60.8528387096774,59.9582,58.9541290322581,70.2773,77.2122258064516,71.1224193548387,69.4961,276.696,599.913,809.811,651.105,582.111
"18","Doonan2020","2020",132.23,160.43,133.64,22.71,175.52,355.480322580645,391.536,372.076774193548,405.697096774194,315.258333333333,68.436064516129,83.2544,85.5494193548387,83.7174838709677,73.7756,49.4327096774194,62.2484,66.3074193548387,61.0177419354839,52.4576,58.9343870967742,72.7514,75.9284193548387,72.3676129032258,63.1166,277.632,673.128,779.283,674.829,392.616
"19","Doonan2021","2021",142.27,113.04,110.36,97.03,24.7,356.949032258065,384.449,368.915806451613,386.541612903226,367.886,69.1421290322581,84.4268,82.4795483870968,85.064,81.524,50.3187741935484,63.1274,64.6009032258064,63.5365806451613,55.988,59.7304516129032,73.7771,73.5402258064516,74.3002903225807,68.756,301.95,692.496,717.588,731.718,556.893
"20","Doudlah2019","2019",158.52,106.58,109.01,120.57,171.56,373.60064516129,376.379333333333,374.181290322581,358.717419354839,294.049,65.3557419354839,76.6688,84.6302580645161,78.5671612903226,74.5598,44.865935483871,55.8902,64.3169677419355,58.0233548387097,56.4482,55.1108387096774,66.2795,74.4736129032258,68.2952580645161,65.504,158.436,485.955,741.933,566.721,465.12
"21","Egre2020","2020",118.16,99.85,103.51,55.79,104.45,384.896451612903,405.963,365.842903225806,389.549032258065,293.900666666667,66.3027741935484,81.7196,84.7969032258064,82.2931612903226,69.7676,45.6637419354839,57.815,64.3216129032258,58.8478709677419,50.036,55.9832580645161,69.7673,74.5592580645161,70.5705161290323,59.9018,188.379,585.252,740.556,625.329,297.054
"22","Erisman2018","2018",82.32,208.46,148.55,113.26,72.61,375.998709677419,366.834333333333,378.752903225806,353.351935483871,356.014,83.9369677419355,86.4944,84.7626451612903,84.8596129032258,82.8368,60.8731612903226,65.5616,65.3423870967742,65.6565161290323,60.3578,72.405064516129,76.028,75.0525161290323,75.258064516129,71.5973,677.412,748.206,751.806,761.895,616.851
"23","Esch2020","2020",125.01,185.51,131.58,60.24,175.36,356.535483870968,385.549,367.069677419355,396.163548387097,296.392666666667,65.4782580645161,80.3744,83.6913548387097,81.0865806451613,68.7194,46.098064516129,58.2686,64.5045161290323,59.1829032258064,49.4666,55.7881612903226,69.3215,74.097935483871,70.1347419354839,59.093,180.027,577.305,734.13,614.781,272.988
"24","Glazik2018","2018",76.78,168.62,107.16,99.77,98.05,383.406129032258,355.587333333333,385.404516129032,378.534516129032,349.826,83.0526451612903,84.1874,83.7261935483871,84.5652258064516,81.689,58.0268387096774,63.6278,63.2851612903226,63.1998064516129,57.6038,70.5397419354839,73.9076,73.5056774193548,73.8825161290323,69.6464,619.965,696.141,713.637,725.616,560.052
"25","Goldstein2020","2020",115.9,85.21,110.02,92.65,101.36,387.402258064516,413.041333333333,364.564838709677,384.87,293.928,65.3865161290323,80.7338,84.1761935483871,81.4814193548387,69.686,44.6876774193548,56.3528,63.2201290322581,58.3647741935484,49.895,55.0370967741936,68.5433,73.6981612903226,69.9230967741936,59.7905,161.028,551.043,717.615,609.129,293.715
"26","Gray2018","2018",55.53,104.63,50.35,86.59,85.41,389.53935483871,357.783666666667,396.186774193548,361.584516129032,334.188666666667,81.8274838709677,83.45,83.7349032258064,84.5576774193548,80.5724,56.8138709677419,63.2534,63.2689032258065,63.4303225806452,57.8072,69.3206774193548,73.3517,73.5019032258065,73.994,69.1898,579.177,680.121,713.61,725.427,552.528
"27","Gruver2018","2018",73.32,112.5,70.56,155.91,160.95,377.571290322581,349.279,397.179032258065,348.824838709677,334.622333333333,82.2467096774194,84.3788,84.033935483871,84.4351612903226,79.2458,58.1470322580645,64.2236,63.3095483870968,63.9314193548387,57.4388,70.1968709677419,74.3012,73.6717419354839,74.1832903225806,68.3423,610.596,700.083,716.139,727.857,531.576
"28","Gruver2019","2019",276.12,142.12,34.23,92.43,215.51,339.116451612903,384.386666666667,405.374516129032,356.038709677419,313.095666666667,70.0938064516129,80.243,87.0010322580645,81.3472903225806,80.1656,51.0666451612903,60.7748,66.9844516129032,61.7052258064516,60.6074,60.5802258064516,70.5089,76.9927419354839,71.5262580645161,70.3865,327.159,606.753,805.437,664.047,604.827
"29","Gruver2020","2020",132.37,124.63,112.11,11.4,115.2,350.184838709677,394.811666666667,367.440322580645,408.749677419355,328.503333333333,68.6015483870968,83.1272,85.2103225806452,83.3458709677419,74.4908,50.0574838709677,62.3294,66.5843870967742,61.2918064516129,53.2172,59.3295161290323,72.7283,75.8973548387097,72.3188387096774,63.854,289.665,672.642,781.992,673.389,414.756
"30","Gruver2021","2021",184.17,151.93,130.41,69.42,37.49,341.506129032258,385.672,362.447419354839,375.542903225806,369.962666666667,68.8413548387097,83.048,82.1909677419355,84.3689677419355,81.1652,50.4825161290323,62.9384,64.7913548387097,64.022,56.5964,59.661935483871,72.9932,73.4911612903226,74.1954838709677,68.8808,300.096,676.989,719.19,732.96,561.96
"31","Longwell2019","2019",138.76,132.83,122.63,67.61,14.95,357.97064516129,367.036666666667,382.646451612903,364.782580645161,375.007666666667,72.2729677419355,78.9734,85.9785161290323,81.7845161290323,82.7666,52.5612258064516,60.0974,65.5734838709677,61.5890967741935,58.79,62.4170967741935,69.5354,75.776,71.6868064516129,70.7783,385.083,577.566,772.983,667.044,609.75
"32","Longwell2020","2020",158.37,105.24,122.64,70.36,27.23,359.364516129032,413.618,377.658709677419,385.944838709677,364.621333333333,68.2647741935484,81.932,85.4083225806452,80.811935483871,75.776,48.9890967741935,59.9276,64.9789032258064,60.1061290322581,52.328,58.626935483871,70.9298,75.1936129032258,70.4590322580645,64.052,269.325,622.926,760.311,632.043,420.975
"33","Smith2019","2019",256.51,126.63,51.38,102.77,222.34,340.965483870968,385.473333333333,383.740967741935,358.102258064516,315.714333333333,71.4873548387097,80.9036,87.3122580645161,82.2141935483871,81.0596,51.8702580645161,60.9404,67.2492258064516,61.938064516129,60.8672,61.6788064516129,70.922,77.2807419354839,72.0761290322581,70.9634,360.756,617.661,810.414,678.969,621.504
"34","Smith2020","2020",130.83,40.59,181.78,12.66,145.6,355.461935483871,406.243666666667,365.973870967742,407.644838709677,325.323,69.4278064516129,84.7478,86.7827096774193,83.8725161290323,75.2996,50.4529032258065,62.3984,66.6830967741935,61.1617419354839,53.603,59.9403548387097,73.5731,76.7329032258065,72.5171290322581,64.4513,307.926,690.984,794.475,679.158,433.539
"35","Smith2021","2021",164.2,170.59,82.89,103.4,26.54,356.457419354839,372.526666666667,367.991290322581,377.467741935484,367.977333333333,70.2703225806452,84.2192,82.8848387096774,85.4332903225806,82.268,50.9342580645161,63.782,65.4347096774193,65.0311612903226,57.3782,60.6022903225806,74.0006,74.1597741935484,75.2322258064516,69.8231,328.248,703.8,735.993,758.943,583.659
"36","Steiner2019","2019",194.81,99.77,126.07,70.82,38.2,358.322258064516,383.080333333333,372.778387096774,369.423870967742,352.085,70.9967096774193,79.445,86.3925161290323,81.0726451612903,80.273,51.5363870967742,59.6444,66.3974193548387,61.0049677419355,58.4672,61.2665483870968,69.5447,76.3949677419355,71.0388064516129,69.3701,349.263,574.956,786.744,650.025,573.795
"37","Steiner2020","2020",119.92,82.61,92.9,43.07,68.09,375.662903225806,403.737,379.96935483871,400.252580645161,346.149,69.2663870967742,83.0552,86.8494838709677,82.8430322580645,75.905,48.7173548387097,60.2582,65.6431612903226,60.1183225806452,52.2884,58.9918709677419,71.6567,76.2463225806452,71.4806774193548,64.0967,276.93,637.767,780.93,654.561,422.361
"38","Stoltzfus12019","2019",154.52,139.39,143.16,155.04,301.46,372.087741935484,365.59,366.851290322581,362.236451612903,282.53,66.146,77.0414,84.213935483871,78.1345806451613,74.5958,45.3681935483871,56.5994,64.1776129032258,57.4909032258064,56.315,55.7570967741935,66.8204,74.1957741935484,67.8127419354839,65.4554,178.47,501.975,737.514,552.141,463.662
"39","Stoltzfus2018","2018",181.65,193.75,95.54,244.46,256.35,353.418709677419,343.718,402.082580645161,342.623225806452,310.631666666667,76.2608387096774,78.6614,81.9726451612903,80.7016129032258,74.1188,53.397935483871,60.377,60.5282580645161,61.0148387096774,53.2172,64.8293870967742,69.5192,71.2504516129032,70.8582258064516,63.668,448.659,574.371,651.798,645.309,406.017
"40","Stoltzfus22019","2019",154.52,139.39,143.16,155.04,301.46,372.087741935484,365.59,366.851290322581,362.236451612903,282.53,66.146,77.0414,84.213935483871,78.1345806451613,74.5958,45.3681935483871,56.5994,64.1776129032258,57.4909032258064,56.315,55.7570967741935,66.8204,74.1957741935484,67.8127419354839,65.4554,178.47,501.975,737.514,552.141,463.662
"41","Wilken2018","2018",48.09,161.76,53.43,79.5,79.63,395.268387096774,355.757,397.284193548387,365.598064516129,333.406,81.9122580645161,83.5076,83.7407096774194,84.6494193548387,80.6396,56.7650967741936,63.2426,63.2834193548387,63.3676129032258,57.4628,69.3386774193548,73.3751,73.512064516129,74.0085161290323,69.0512,580.869,681.075,714.132,725.571,548.361
"42","Wilken2020","2020",131,103.63,135.02,38.08,61.47,376.809677419355,404.142,367.195161290323,398.472258064516,341.242666666667,69.6281290322581,84.548,86.0894193548387,82.9353548387097,76.4378,49.8316129032258,61.5176,65.5688387096774,60.4417419354839,53.0282,59.7298709677419,73.0328,75.8291290322581,71.6885483870968,64.733,300.492,676.359,775.989,660.762,441.99
"43","Zinniker2018","2018",146.52,218.35,59.39,158.11,225.13,380.203548387097,345.356,409.063225806452,337.56935483871,314.552,74.5351612903226,76.7018,81.8094838709677,81.1823870967742,73.9058,49.9767741935484,57.1358,58.4489677419355,59.9342580645161,52.634,62.2559677419355,66.9188,70.1292258064516,70.5583225806452,63.2699,374.49,498.006,616.572,630.477,395.685
"44","Zinniker2019","2019",176.41,135.75,98.71,100.26,218.92,360.19064516129,385.730333333333,376.202903225806,364.968709677419,287.288,64.4934838709677,75.62,84.0931612903226,78.5090967741936,74.4476,43.9578064516129,53.7824,62.595935483871,56.3696774193548,56.0924,54.2256451612903,64.7012,73.3445483870968,67.4393870967742,65.27,131.544,439.722,707.958,540.234,458.1
