"","pH","Su","P","Ca","Mg","K","Na","SOC","TN","InorgN","Bray1P","POMC","POMN","PMN","Sand","Silt","Clay","FDA"
"130",6.5,11,56,1787.5,318,134,23.5,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
"131",6.85,11,78.5,1691,340.5,178.5,21.5,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
"132",6.8,11,67,1849,341.5,159.5,22.5,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
"133",7.1,21.5,393.5,2483,572,300,31,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
"134",7.3,17,411.5,2209.5,501,340,26,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
"135",7.25,22.5,666.5,3203,590,389,31.5,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
"136",7.15,21,537.5,2743,541.5,296,29.5,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
"137",7.25,21,529,3011,615,268,37,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
"138",7.25,27,793,3530.5,586,375,34.5,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
"139",7.3,22,654.5,3119.5,602.5,357,36,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
"140",7.2,20.5,647,3059,550,286.5,33.5,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
"141",6.85,9.5,64.5,5263.5,678,204.5,29,27.5165,2.2055,23.37012561,27,4.999912099,0.328115461,52.44065068,4,34,62,55.7
"142",6.75,8.5,66,5122.5,679,217,25.5,27.5165,2.2055,23.37012561,27,4.999912099,0.328115461,52.44065068,4,34,62,55.7
"143",6.75,9.5,83,5188,685.5,295,26.5,27.5165,2.2055,23.37012561,27,4.999912099,0.328115461,52.44065068,4,34,62,55.7
"144",6.55,10.5,82.5,4920.5,655,287,28,27.5165,2.2055,23.37012561,27,4.999912099,0.328115461,52.44065068,4,34,62,55.7
"145",6.75,8.5,45.5,4763.5,659,158,27.5,27.5165,2.2055,23.37012561,27,4.999912099,0.328115461,52.44065068,4,34,62,55.7
"146",6.85,9.5,62.5,5039,676.5,265,29,27.5165,2.2055,23.37012561,27,4.999912099,0.328115461,52.44065068,4,34,62,55.7
"147",6.55,11.5,47.5,5441.5,753.5,205.5,31,27.5165,2.2055,23.37012561,27,4.999912099,0.328115461,52.44065068,4,34,62,55.7
"148",6.55,16,72,5085.5,695.5,280,33.5,27.5165,2.2055,23.37012561,27,4.999912099,0.328115461,52.44065068,4,34,62,55.7
"149",6.1,12,47.5,4193,614.5,180.5,33.5,24.45978571,1.950428571,24.52545005,8.214285714,2.564094711,0.160286009,44.54284689,5,25,70,43.8
"150",5.95,11.5,23,4611,626,174.5,33.5,24.45978571,1.950428571,24.52545005,8.214285714,2.564094711,0.160286009,44.54284689,5,25,70,43.8
"151",5.9,11,24.5,4332,560,156.5,33,24.45978571,1.950428571,24.52545005,8.214285714,2.564094711,0.160286009,44.54284689,5,25,70,43.8
"152",5.9,10.5,24,4665,590,164,34,24.45978571,1.950428571,24.52545005,8.214285714,2.564094711,0.160286009,44.54284689,5,25,70,43.8
"153",6.05,9.5,20.5,4482.5,583.5,123.5,31,24.45978571,1.950428571,24.52545005,8.214285714,2.564094711,0.160286009,44.54284689,5,25,70,43.8
"154",5.9,10,27.5,4325.5,515.5,159.5,29.5,24.45978571,1.950428571,24.52545005,8.214285714,2.564094711,0.160286009,44.54284689,5,25,70,43.8
"155",5.9,9.5,25.5,4472.5,519,130.5,29.5,24.45978571,1.950428571,24.52545005,8.214285714,2.564094711,0.160286009,44.54284689,5,25,70,43.8
"156",6,9,24,4394,530.5,121,33.5,24.45978571,1.950428571,24.52545005,8.214285714,2.564094711,0.160286009,44.54284689,5,25,70,43.8
"157",7.1,9,32,3051,553,140.5,32,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"158",7.15,8,42,3096.5,487,137,31,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"159",7.15,7.5,35.5,3032.5,457,127.5,30.5,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"160",7.2,7,27.5,2970.5,473,112,29.5,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"161",7.15,11,40,3144.5,512,150,31.5,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"162",6.8,8.5,33.5,3705.5,670,150,32.5,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"163",6.95,8.5,47,3293,527,167,31,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"164",6.9,9,64,3844,498,207,28,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"165",6.7,16,119.5,2101.5,201,161.5,28.5,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"166",6.35,17.5,131.5,2205.5,218,177.5,29.5,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"167",6.3,15,80,2044.5,216.5,183.5,25,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"168",6.7,15,124,2229,301,145.5,27.5,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"169",6.55,15,103.5,2228,234,192,26.5,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"170",6.2,13.5,80.5,1929.5,182,180,23,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"171",5.95,15.5,100.5,1913,182,166.5,24.5,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"172",6,15,105,1726.5,170,151,25,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"173",6.65,14,76,1672,296,163.5,36.5,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
"174",6.5,12.5,65,1649,299.5,139.5,25.5,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
"175",7,11.5,78,1534,298.5,176.5,22,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
"176",6.4,11,46,1874.5,349,160.5,25.5,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
"177",6.75,10,65,1696,329.5,182.5,22.5,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
"178",6.5,11,56,1787.5,318,134,23.5,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
"179",6.85,11,78.5,1691,340.5,178.5,21.5,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
"180",6.8,11,67,1849,341.5,159.5,22.5,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
"181",7.1,21.5,393.5,2483,572,300,31,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
"182",7.3,17,411.5,2209.5,501,340,26,26.7645,2.8385,26.39594563,387,11.33689491,0.240562359,51.92079626,41,33,26,19.1
